dropout	middle	kn_num	lr	acc			max_dev_acc		test_time		epochs
0	7	100	0.005	0.0%			0%			1488.1577491760254	256
0	7	100	0.005	0.0%			0%			1569.1108703613281	512
0	7	100	0.01	30.467006558555845%	24.265457359524277%	1493.140459060669	64
0	7	100	0.01	30.467006558555845%	24.265457359524277%	1461.1780643463135	128
0	7	100	0.01	30.467006558555845%	24.265457359524277%	1488.144874572754	256
0	7	100	0.01	30.467006558555845%	24.265457359524277%	1545.1297760009766	512
0	7	100	0.05	23.648419971774594%	24.179986241508285%	1523.1239795684814	64
0	7	100	0.05	23.648419971774594%	24.179986241508285%	1643.537998199463	128
0	7	100	0.05	23.648419971774594%	24.179986241508285%	1455.18159866333	256
0	7	100	0.05	23.648419971774594%	24.179986241508285%	1443.1695938110352	512
0	7	100	0.1	7.3597117083032595%	12.426061897620105%	1524.122953414917	64
0	7	100	0.1	7.3597117083032595%	12.426061897620105%	1466.1750793457031	128
0	7	100	0.1	7.3597117083032595%	12.426061897620105%	1507.1511268615723	256
0	7	100	0.1	7.3597117083032595%	12.426061897620105%	1437.1917247772217	512
0	8	100	0.001	1.8322900365153887%	3.899402668453079%	1615.0712966918945	64
0	8	100	0.001	7.724939705573512%	7.923346680673767%	1381.2224864959717	128
0	8	100	0.001	13.842926765461979%	16.171588604179462%	1462.1601104736328	256
0	8	100	0.001	19.00716921540137%	20.791789947710242%	1369.213581085205	512
0	8	100	0.002	8.958606542807404%	5.9828057835091855%	1427.1795749664307	64
0	8	100	0.002	16.939877545511344%	13.83566869498874%	1486.1445426940918	128
0	8	100	0.002	19.557215998431754%	18.549051898993273%	1527.1215438842773	256
0	8	100	0.002	22.25865527802147%	21.78479655032996%	1471.1675643920898	512
0	8	100	0.005	0.0%			0%			1397.1974849700928	64
0	8	100	0.005	0.0%			0%			1453.1831741333008	128
0	8	100	0.005	0.0%			0%			1443.2504177093506	256
0	8	100	0.005	0.0%			0%			1477.165699005127	512
0	8	100	0.01	19.37214191329674%	19.903626935840574%	1522.1493244171143	64
0	8	100	0.01	19.37214191329674%	19.903626935840574%	1457.1683406829834	128
0	8	100	0.01	19.37214191329674%	19.903626935840574%	1447.1876621246338	256
0	8	100	0.01	19.37214191329674%	19.903626935840574%	1496.159553527832	512
0	8	100	0.05	0.0%			0%			1446.169137954712	64
0	8	100	0.05	0.0%			0%			1480.1483154296875	128
0	8	100	0.05	0.0%			0%			1610.0752353668213	256
0	8	100	0.05	0.0%			0%			1467.1571254730225	512
0	8	100	0.1	17.99340005819863%	15.177292096987284%	1489.1448020935059	64
0	8	100	0.1	17.99340005819863%	15.177292096987284%	1490.156888961792	128
0	8	100	0.1	17.99340005819863%	15.177292096987284%	1527.13942527771	256
0	8	100	0.1	17.99340005819863%	15.177292096987284%	1432.1799278259277	512
0	9	100	0.001	1.8229071398085481%	1.4157315915815325%	1397.1962928771973	64
0	9	100	0.001	9.17434743138969%	6.206293380970991%	1520.1263427734375	128
0	9	100	0.001	19.356552662584516%	13.451264444816617%	1381.2055587768555	256
0	9	100	0.001	19.606699645749867%	18.47685953489003%	1426.1813163757324	512
0	9	100	0.002	6.824595722483046%	5.4609780606263625%	1409.1911315917969	64
0	9	100	0.002	10.784327206694575%	12.773198478637086%	1387.2032165527344	128
0	9	100	0.002	18.29532718957981%	19.647309014504096%	1459.1619968414307	256
0	9	100	0.002	22.535238967163853%	21.66391805746513%	1429.1784763336182	512
0	9	100	0.01	4.1261923609447%	7.82710472156927%	1467.1578407287598	64
0	9	100	0.01	4.1261923609447%	7.82710472156927%	1657.0475101470947	128
0	9	100	0.01	4.1261923609447%	7.82710472156927%	1457.2083950042725	256
0	9	100	0.01	30.467006558555845%	24.265457359524277%	1076.3792991638184	64
0	9	100	0.01	30.467006558555845%	24.265457359524277%	1123.171091079712	128
0	9	100	0.01	30.467006558555845%	24.265457359524277%	1185.6000423431396	256
0	9	100	0.01	30.467006558555845%	24.265457359524277%	1107.593059539795	512
0	9	100	0.05	4.20459494155809%	6.757447475756265%	1154.400110244751	64
0	9	100	0.05	4.20459494155809%	6.757447475756265%	1528.8000106811523	128
0	9	100	0.05	4.20459494155809%	6.757447475756265%	1134.9999904632568	256
0.5	6	100	0.001	1.326875393776802%	0.9596382515491543%	1081.9997787475586	64
0.5	6	100	0.001	3.466544214783651%	4.8985373750907195%	1250.999927520752	128
0.5	6	100	0.001	13.531791760665%	12.317032322893992%	1167.0000553131104	256
0.5	6	100	0.001	13.531791760665%	12.317032322893992%	1025.9997844696045	256
0.5	6	100	0.001	4.439875786706773%	2.933902752191146%	2372.142553329468	64
0	10	100	0.001	7.775667315200575%	3.5731033327750787%	2106.837034225464	64
0.5	6	100	0.001	9.506018388060644%	5.407525260983647%	2262.333393096924	128
0	10	100	0.001	11.216635962461329%	7.70911256257095%	1997.0943927764893	128
0.5	6	100	0.001	12.820140012041417%	12.048651817116063%	2106.0404777526855	256
0	10	100	0.001	15.593967852602832%	13.602856641237802%	2215.242385864258	256
0.5	6	100	0.001	18.243830239135406%	17.440592493347474%	1840.8000469207764	512
0	10	100	0.01	0.0%	0%	1871.999979019165	64
0	12	100	0.001	8.051442335693908%	1.35125327974097%	1934.4000816345215	64
0	12	100	0.001	8.96944534876734%	5.381845587003853%	1794.0001487731934	128
0.5	6	100	0.01	0.0%	0%	1856.4002513885498	64
0	12	100	0.001	12.326265238237076%	15.657788813403268%	1918.7629222869873	256
0.5	6	100	0.01	0.0%	0%	1980.0000190734863	128
0	12	100	0.01	1.1070225154732196%	2.261749201068228%	1170.292615890503	64
0	12	100	0.01	1.1070225154732196%	2.261749201068228%	1305.1304817199707	128
0	12	100	0.01	1.1070225154732196%	2.261749201068228%	1651.1647701263428	256
0	12	100	0.01	1.1070225154732196%	2.261749201068228%	2287.228584289551	256
